slug,family,type,name,name_fr,description_en,description_fr,official_url
gpu-programming,ai_ml_automation,hard_skill,GPU Programming,Programmation GPU,Develop expertise in programming GPUs to accelerate machine learning computations.,Développer une expertise en programmation GPU pour accélérer les calculs d'apprentissage automatique.,
guardrails,ai_ml_automation,hard_skill,Guardrails,Garde-fous,Learn how to implement safety measures and guidelines to ensure responsible AI deployment.,Apprenez à mettre en place des mesures de sécurité et des lignes directrices pour un déploiement responsable de l'IA.,
harness-engineering,ai_ml_automation,hard_skill,Harness Engineering,Ingénierie de harnais d'évaluation,Understand how to design and evaluate harness systems for AI model testing and deployment.,Comprendre comment concevoir et évaluer des systèmes de harnais pour le test et le déploiement de modèles d'IA.,
image-segmentation,ai_ml_automation,hard_skill,Image Segmentation,Segmentation d'image,Acquire skills to partition images into meaningful segments for analysis and recognition.,Acquérir des compétences pour segmenter des images en parties significatives pour l'analyse et la reconnaissance.,
llm-evaluation-and-benchmarking,ai_ml_automation,hard_skill,LLM Evaluation & Benchmarking,Évaluation et benchmarking de LLM,Learn to evaluate and benchmark large language models for performance and accuracy.,Apprenez à évaluer et comparer la performance et la précision des grands modèles de langage.,
low-rank-adaptation,ai_ml_automation,hard_skill,Low-Rank Adaptation,Adaptation de faible rang,Understand techniques to adapt models efficiently using low-rank approximations.,Comprendre les techniques pour adapter efficacement les modèles en utilisant des approximations de faible rang.,
ml-pipeline-orchestration,ai_ml_automation,hard_skill,ML Pipeline Orchestration,Orchestration de pipelines ML,Master the orchestration of machine learning pipelines for streamlined workflows.,Maîtriser l'orchestration des pipelines d'apprentissage automatique pour des flux de travail efficaces.,
mlops,ai_ml_automation,hard_skill,MLOps,MLOps,"Develop skills in managing the deployment, monitoring, and maintenance of machine learning models.","Acquérir des compétences pour gérer le déploiement, la surveillance et la maintenance des modèles d'apprentissage automatique.",
model-deployment,ai_ml_automation,hard_skill,Model Deployment,Déploiement de modèle,Learn how to deploy machine learning models into production environments.,Apprenez à déployer des modèles d'apprentissage automatique en environnement de production.,
model-fine-tuning,ai_ml_automation,hard_skill,Model Fine-tuning,Ajustement fin de modèles,Gain expertise in refining pre-trained models for specific tasks.,Acquérir une expertise dans le réglage fin de modèles pré-entraînés pour des tâches spécifiques.,
model-monitoring,ai_ml_automation,hard_skill,Model Monitoring,Suivi de modèle,Understand how to monitor models in production to ensure performance and fairness.,Comprendre comment surveiller les modèles en production pour garantir leur performance et leur équité.,
model-quantization,ai_ml_automation,hard_skill,Model Quantization,Quantification de modèles,Learn techniques to reduce model size and improve inference speed through quantization.,Apprenez des techniques pour réduire la taille des modèles et améliorer la vitesse d'inférence par quantification.,
model-serving-and-apis,ai_ml_automation,hard_skill,Model Serving & APIs,Mise en production de modèles et API,Master deploying models with APIs for integration into applications.,Maîtriser le déploiement de modèles avec des API pour leur intégration dans des applications.,
multi-agent-system-design,ai_ml_automation,hard_skill,Multi-Agent System Design,Conception de systèmes multi-agents,Design systems where multiple AI agents collaborate to solve complex tasks.,Concevoir des systèmes où plusieurs agents d'IA collaborent pour résoudre des tâches complexes.,
named-entity-recognition,ai_ml_automation,hard_skill,Named Entity Recognition,Reconnaissance d’entités nommées,Develop skills to identify and classify entities in text data.,Développer des compétences pour identifier et classer les entités dans des données textuelles.,
object-detection,ai_ml_automation,hard_skill,Object Detection,Détection d’objets,Learn to detect and locate objects within images or videos.,Apprenez à détecter et localiser des objets dans des images ou des vidéos.,
optical-character-recognition,ai_ml_automation,hard_skill,Optical Character Recognition,Reconnaissance optique de caractères,Master OCR techniques to convert images of text into machine-readable data.,Maîtriser les techniques de reconnaissance optique de caractères pour convertir des images de texte en données exploitables.,
perception-systems,ai_ml_automation,hard_skill,Perception Systems,Systèmes de perception,Understand how perception systems enable machines to interpret sensory data.,Comprendre comment les systèmes de perception permettent aux machines d'interpréter les données sensorielles.,
predictive-modeling,ai_ml_automation,hard_skill,Predictive Modeling,Modélisation prédictive,Learn to build models that predict future outcomes based on data analysis.,Apprenez à construire des modèles qui prédisent des résultats futurs à partir de l'analyse de données.,
prompt-engineering,ai_ml_automation,hard_skill,Prompt Engineering,Ingénierie de prompts,The art of designing effective prompts to guide AI models in generating desired outputs.,L'art de concevoir des prompts efficaces pour orienter les modèles d'IA dans la génération de résultats souhaités.,
recommender-systems-engineering,ai_ml_automation,hard_skill,Recommender Systems Engineering,Ingénierie des systèmes de recommandation,Developing algorithms that personalize content and product recommendations for users.,Développer des algorithmes qui personnalisent le contenu et les recommandations de produits pour les utilisateurs.,
reinforcement-learning,ai_ml_automation,hard_skill,Reinforcement Learning,Apprentissage par renforcement,Training AI agents to make decisions through trial and error to maximize rewards.,Entraîner des agents d'IA à prendre des décisions par essais et erreurs pour maximiser les récompenses.,
reinforcement-learning-from-human-feedback,ai_ml_automation,hard_skill,Reinforcement Learning from Human Feedback,Apprentissage par renforcement à partir de retours humains,Improving AI models using human feedback to guide learning processes.,Améliorer les modèles d'IA en utilisant les retours humains pour guider l'apprentissage.,
retrieval-augmented-generation,ai_ml_automation,hard_skill,Retrieval-Augmented Generation,Génération augmentée par récupération,Combining retrieval techniques with generative models to produce accurate responses.,Combiner des techniques de récupération avec des modèles génératifs pour produire des réponses précises.,
rl-environment-design,ai_ml_automation,hard_skill,RL Environment Design,Conception d’environnements RL,Creating simulated environments for training reinforcement learning agents.,Créer des environnements simulés pour entraîner des agents d'apprentissage par renforcement.,
sentiment-analysis,ai_ml_automation,hard_skill,Sentiment Analysis,Analyse de sentiment,Analyzing text to determine the emotional tone or sentiment expressed.,Analyser un texte pour déterminer le ton émotionnel ou le sentiment exprimé.,
speech-recognition-engineering,ai_ml_automation,hard_skill,Speech Recognition Engineering,Ingénierie de la reconnaissance vocale,Designing systems that convert spoken language into text accurately.,Concevoir des systèmes qui transforment la parole en texte avec précision.,
synthetic-data-generation,ai_ml_automation,hard_skill,Synthetic Data Generation,Génération de données synthétiques,Creating artificial data to augment datasets for training AI models.,Générer des données artificielles pour augmenter les ensembles de données destinés à l'entraînement des IA.,
text-classification,ai_ml_automation,hard_skill,Text Classification,Classification de texte,Categorizing text into predefined labels for analysis or automation.,Classer un texte dans des catégories prédéfinies pour l'analyse ou l'automatisation.,
time-series-forecasting,ai_ml_automation,hard_skill,Time Series Forecasting,Prévision de séries temporelles,Predicting future values based on historical time-series data.,Prédire les valeurs futures à partir de données historiques de séries temporelles.,
vector-search-implementation,ai_ml_automation,hard_skill,Vector Search Implementation,Implémentation de recherche vectorielle,Implementing search algorithms that use vector representations for similarity matching.,Mettre en œuvre des algorithmes de recherche utilisant des représentations vectorielles pour la correspondance de similarité.,
video-analytics,ai_ml_automation,hard_skill,Video Analytics,Analyse vidéo,Analyzing video data to extract meaningful insights and patterns.,Analyser des données vidéo pour en extraire des insights et des motifs pertinents.,
voice-and-speech-ai-integration,ai_ml_automation,hard_skill,Voice & Speech AI Integration,Intégration IA de la voix et de la parole,Integrating AI systems for voice recognition and speech processing.,Intégrer des systèmes d'IA pour la reconnaissance vocale et le traitement de la parole.,
ai-bias-and-fairness,ai_ml_automation,knowledge,AI Bias & Fairness,Biais et équité de l'IA,Understanding and mitigating biases in AI systems to promote fairness.,Comprendre et réduire les biais dans les systèmes d'IA pour favoriser l'équité.,
ai-governance,law_compliance_governance,knowledge,AI Governance,Gouvernance de l'IA,Establishing policies and frameworks to oversee AI development and deployment.,Établir des politiques et des cadres pour superviser le développement et le déploiement de l'IA.,
ai-red-teaming,cybersecurity_digital_trust,hard_skill,AI Red Teaming,Red teaming IA,Testing AI systems for vulnerabilities through simulated attacks.,Tester les systèmes d'IA pour détecter des vulnérabilités via des attaques simulées.,
ai-risk-management,ai_ml_automation,knowledge,AI Risk Management,Gestion des risques liés à l'IA,Identifying and mitigating risks associated with AI implementation.,Identifier et réduire les risques liés à la mise en œuvre de l'IA.,
ai-safety,ai_ml_automation,knowledge,AI Safety,Sécurité de l'IA,Ensuring AI systems operate safely and reliably in various contexts.,Garantir que les systèmes d'IA fonctionnent en toute sécurité et fiabilité.,
alignment,ai_ml_automation,knowledge,Alignment,Alignement,Aligning AI behavior with human values and intentions.,Aligner le comportement de l'IA avec les valeurs et intentions humaines.,
embeddings,ai_ml_automation,knowledge,Embeddings,Plongements vectoriels,Representing words or data in vector space for machine learning tasks.,Représenter des mots ou des données dans un espace vectoriel pour l'apprentissage automatique.,
ethical-ai,ai_ml_automation,knowledge,Ethical AI,IA éthique,Promoting responsible and fair use of artificial intelligence.,Promouvoir une utilisation responsable et équitable de l'intelligence artificielle.,
eu-ai-act-compliance,law_compliance_governance,knowledge,EU AI Act Compliance,Conformité à l'EU AI Act,Ensuring AI systems comply with the European Union regulations.,S'assurer que les systèmes d'IA respectent la réglementation de l'Union européenne.,
federated-learning,ai_ml_automation,knowledge,Federated Learning,Apprentissage fédéré,Training models across multiple devices without sharing data centrally.,Entraîner des modèles sur plusieurs appareils sans partager les données de manière centralisée.,
foundation-models,ai_ml_automation,knowledge,Foundation Models,Modèles de fondation,Large pre-trained models serving as a base for various AI applications.,Modèles pré-entraînés de grande taille servant de base à diverses applications d'IA.,
knowledge-graphs,ai_ml_automation,knowledge,Knowledge Graphs,Graphes de connaissances,"Knowledge graphs organize information in interconnected nodes, enabling better data understanding and retrieval.","Les graphes de connaissances organisent l'information en nœuds interconnectés, facilitant la compréhension et la récupération des données.",
llm-architectures,ai_ml_automation,knowledge,LLM Architectures,Architectures de LLM,"LLM architectures define the structure of large language models, impacting their performance and capabilities.","Les architectures de LLM définissent la structure des grands modèles de langage, influençant leurs performances et capacités.",
llmops,ai_ml_automation,hard_skill,LLMOps,LLMOps,"LLMOps involves managing, deploying, and maintaining large language models in production environments.","Les LLMOps concernent la gestion, le déploiement et la maintenance des grands modèles de langage en production.",
machine-learning-fundamentals,ai_ml_automation,knowledge,Machine Learning Fundamentals,Fondamentaux du machine learning,"Fundamentals of machine learning cover core concepts like algorithms, training, and evaluation techniques.","Les fondamentaux du machine learning abordent les concepts clés tels que les algorithmes, l'entraînement et l'évaluation.",
model-risk-management,ai_ml_automation,knowledge,Model Risk Management,Gestion des risques liés aux modèles,Model risk management involves identifying and mitigating risks associated with AI and machine learning models.,La gestion des risques liés aux modèles consiste à identifier et atténuer les risques associés aux modèles d'IA et de machine learning.,
model-interpretability,ai_ml_automation,knowledge,Model Interpretability,Interprétabilité des modèles,Model interpretability focuses on making AI models understandable and transparent for users.,L'interprétabilité des modèles vise à rendre les modèles d'IA compréhensibles et transparents pour les utilisateurs.,
multimodal-ai,ai_ml_automation,knowledge,Multimodal AI,IA multimodale,"Multimodal AI integrates multiple data types like text, images, and audio for richer analysis.","L'IA multimodale combine plusieurs types de données comme le texte, les images et l'audio pour une analyse plus riche.",
natural-language-processing,ai_ml_automation,knowledge,Natural Language Processing,Traitement du langage naturel,"Natural language processing enables machines to understand, interpret, and generate human language.","Le traitement du langage naturel permet aux machines de comprendre, interpréter et générer le langage humain.",
neural-network-architectures,ai_ml_automation,knowledge,Neural Network Architectures,Architectures de réseaux de neurones,Neural network architectures define the structure of neural models used in deep learning applications.,Les architectures de réseaux de neurones définissent la structure des modèles neuronaux utilisés en apprentissage profond.,
responsible-ai,ai_ml_automation,knowledge,Responsible AI,IA responsable,"Responsible AI emphasizes ethical practices, fairness, and transparency in AI development.","L'IA responsable met l'accent sur les pratiques éthiques, l'équité et la transparence dans le développement de l'IA.",
transformer,ai_ml_automation,knowledge,Transformer,Transformer,Transformers are a type of model architecture that excel in processing sequential data like language.,Les transformers sont un type d'architecture de modèle qui excellent dans le traitement de données séquentielles comme le langage.,
vector-databases,ai_ml_automation,knowledge,Vector Databases,Bases de données vectorielles,"Vector databases store and search high-dimensional data, essential for AI applications like similarity search.","Les bases de données vectorielles stockent et recherchent des données haute dimension, essentielles pour des applications d'IA comme la recherche de similarités.",
mojo,ai_ml_automation,language,Mojo,Mojo,"Mojo is a programming language designed for AI and machine learning, combining Python's usability with high performance and scalability.","Mojo est un langage de programmation conçu pour l'IA et l'apprentissage automatique, alliant la simplicité de Python à la haute performance et scalabilité.",
amazon-sagemaker,ai_ml_automation,tool_platform,Amazon SageMaker,Amazon SageMaker,"Amazon SageMaker is a cloud platform for building, training, and deploying machine learning models.","Amazon SageMaker est une plateforme cloud pour créer, entraîner et déployer des modèles de machine learning.",https://aws.amazon.com/sagemaker
anthropic-claude-api,ai_ml_automation,tool_platform,Anthropic Claude API,Anthropic Claude API,"Anthropic Claude API provides access to Claude, an AI assistant designed for safe and helpful natural language understanding and generation.","L'API Anthropic Claude permet d'accéder à Claude, un assistant IA conçu pour une compréhension et génération de langage naturel sûres et utiles.",https://anthropic.com/product
apache-iceberg,data_analytics_bi,tool_platform,Apache Iceberg,Apache Iceberg,"Apache Iceberg is an open table format for huge analytic datasets, enabling reliable, high-performance data lakes on cloud and on-premises.","Apache Iceberg est un format de table open source pour de grands ensembles de données analytiques, permettant des data lakes fiables et performants sur cloud et local.",https://iceberg.apache.org
apache-kafka,data_analytics_bi,tool_platform,Apache Kafka,Apache Kafka,Apache Kafka is a distributed event streaming platform used for building real-time data pipelines and streaming applications.,Apache Kafka est une plateforme distribuée de streaming d'événements utilisée pour créer des pipelines de données en temps réel et des applications de streaming.,https://kafka.apache.org
aws-bedrock,ai_ml_automation,tool_platform,AWS Bedrock,AWS Bedrock,AWS Bedrock is a managed service that enables building and scaling generative AI applications using foundation models from leading AI startups.,AWS Bedrock est un service managé permettant de créer et de faire évoluer des applications d'IA générative avec des modèles de base de startups IA reconnues.,https://aws.amazon.com/bedrock
azure-ai-foundry,ai_ml_automation,tool_platform,Azure AI Foundry,Azure AI Foundry,"Azure AI Foundry is a Microsoft platform offering tools and services to build, deploy, and manage AI applications at scale.","Azure AI Foundry est une plateforme Microsoft offrant des outils et services pour créer, déployer et gérer des applications IA à grande échelle.",https://azure.microsoft.com
chatgpt,ai_ml_automation,tool_platform,ChatGPT,ChatGPT,ChatGPT is an AI language model developed by OpenAI for conversational applications.,ChatGPT est un modèle de langage AI développé par OpenAI pour des applications conversationnelles.,https://openai.com
chroma,ai_ml_automation,tool_platform,Chroma,Chroma,"Chroma is an open-source embedding database designed to store, index, and query vector embeddings for machine learning applications.","Chroma est une base de données open source d'embeddings, conçue pour stocker, indexer et interroger des vecteurs pour des applications d'apprentissage automatique.",
claude,ai_ml_automation,tool_platform,Claude,Claude,"Claude is an AI assistant developed by Anthropic, focused on safe and reliable natural language processing and generation.","Claude est un assistant IA développé par Anthropic, axé sur un traitement et une génération de langage naturel sûrs et fiables.",https://anthropic.com
claude-code,ai_ml_automation,tool_platform,Claude Code,Claude Code,Claude Code is a variant of Claude AI specialized in understanding and generating programming code to assist developers.,Claude Code est une version de Claude IA spécialisée dans la compréhension et la génération de code pour assister les développeurs.,https://anthropic.com
codex,ai_ml_automation,tool_platform,Codex,Codex,"Codex is an AI system by OpenAI that translates natural language into code, powering tools like GitHub Copilot.","Codex est un système IA d'OpenAI qui traduit le langage naturel en code, alimentant des outils comme GitHub Copilot.",
cohere,ai_ml_automation,tool_platform,Cohere,Cohere,Cohere provides natural language processing APIs to build AI-powered text understanding and generation applications.,Cohere propose des API de traitement du langage naturel pour créer des applications d'IA capables de comprendre et générer du texte.,https://cohere.ai
cudnn,ai_ml_automation,tool_platform,cuDNN,cuDNN,"CuDNN is a GPU-accelerated library for deep neural networks, optimized for NVIDIA hardware.","CuDNN est une bibliothèque accélérée par GPU pour les réseaux neuronaux profonds, optimisée pour le matériel NVIDIA.",
cursor,ai_ml_automation,tool_platform,Cursor,Cursor,Cursor is a platform that simplifies the deployment and management of AI models in production.,Cursor est une plateforme qui facilite le déploiement et la gestion des modèles d'IA en production.,
deepseek,ai_ml_automation,tool_platform,DeepSeek,DeepSeek,"DeepSeek offers tools for data search and analysis using AI, enhancing data discovery processes.","DeepSeek propose des outils pour la recherche et l'analyse de données avec l'IA, améliorant la découverte de données.",
dspy,ai_ml_automation,tool_platform,DSPy,DSPy,DSPy is a Python library designed for digital signal processing and analysis.,DSPy est une bibliothèque Python conçue pour le traitement et l'analyse de signaux numériques.,
faiss,ai_ml_automation,tool_platform,FAISS,FAISS,FAISS is a library for efficient similarity search and clustering of dense vectors.,FAISS est une bibliothèque pour la recherche de similarité efficace et le clustering de vecteurs denses.,
github-copilot,ai_ml_automation,tool_platform,GitHub Copilot,GitHub Copilot,GitHub Copilot is an AI-powered code completion tool that assists developers in writing code.,"GitHub Copilot est un outil d'autocompletion de code alimenté par l'IA, aidant les développeurs à écrire du code.",https://github.com/features/copilot
google-gemini,ai_ml_automation,tool_platform,Google Gemini,Google Gemini,"Google Gemini is a Google AI platform and model family used for multimodal generation, reasoning, coding assistance, and AI-powered productivity workflows.","Google Gemini est une plateforme et famille de modèles IA de Google pour la génération multimodale, le raisonnement, l'aide au code et la productivité.",https://gemini.google.com
grok,ai_ml_automation,tool_platform,Grok,Grok,Grok is a platform that enables building and deploying AI applications easily.,Grok est une plateforme qui permet de créer et déployer facilement des applications d'IA.,
groq,ai_ml_automation,tool_platform,Groq,Groq,Groq develops hardware and software solutions for high-performance AI computing.,Groq développe des solutions matérielles et logicielles pour l'informatique AI haute performance.,
gymnasium,ai_ml_automation,tool_platform,Gymnasium,Gymnasium,Gymnasium is an environment for developing and comparing reinforcement learning algorithms.,Gymnasium est un environnement pour développer et comparer des algorithmes d'apprentissage par renforcement.,
hugging-face,ai_ml_automation,tool_platform,Hugging Face,Hugging Face,Hugging Face provides a platform for sharing and deploying machine learning models.,Hugging Face offre une plateforme pour partager et déployer des modèles d'apprentissage automatique.,
jax,ai_ml_automation,tool_platform,JAX,JAX,JAX is a library for high-performance numerical computing and machine learning research.,JAX est une bibliothèque pour le calcul numérique haute performance et la recherche en apprentissage automatique.,
keras,ai_ml_automation,tool_platform,Keras,Keras,Keras is a user-friendly API for building and training deep learning models.,Keras est une API conviviale pour construire et entraîner des modèles d'apprentissage profond.,https://keras.io
kimi,ai_ml_automation,tool_platform,Kimi,Kimi,Kimi is a platform for managing and deploying AI models and workflows.,Kimi est une plateforme pour gérer et déployer des modèles et flux de travail d'IA.,
langchain,ai_ml_automation,tool_platform,LangChain,LangChain,LangChain is a framework for developing applications with large language models.,LangChain est un cadre pour développer des applications avec de grands modèles de langage.,https://langchain.com
langgraph,ai_ml_automation,tool_platform,LangGraph,LangGraph,LangGraph facilitates the creation of knowledge graphs from language models.,LangGraph facilite la création de graphes de connaissances à partir de modèles linguistiques.,
llamaindex,ai_ml_automation,tool_platform,LlamaIndex,LlamaIndex,LlamaIndex helps integrate large language models with external data sources.,LlamaIndex aide à intégrer de grands modèles de langage avec des sources de données externes.,
meta-llama,ai_ml_automation,tool_platform,Meta Llama,Meta Llama,Meta Llama is an open-source large language model developed by Meta.,Meta Llama est un modèle de langage large open-source développé par Meta.,
milvus,ai_ml_automation,tool_platform,Milvus,Milvus,Milvus is an open-source vector database for similarity search at scale.,Milvus est une base de données vectorielle open-source pour la recherche de similarité à grande échelle.,https://milvus.io
mistral-ai,ai_ml_automation,tool_platform,Mistral AI,Mistral AI,Mistral AI develops advanced AI models and solutions.,Mistral AI développe des modèles et solutions d'IA avancés.,
mlflow,ai_ml_automation,tool_platform,MLflow,MLflow,MLflow is an open-source platform for managing the machine learning lifecycle.,MLflow est une plateforme open-source pour gérer le cycle de vie de l'apprentissage automatique.,https://mlflow.org
model-context-protocol,ai_ml_automation,tool_platform,Model Context Protocol,Model Context Protocol,Model Context Protocol standardizes how AI models share context and data.,Model Context Protocol standardise la façon dont les modèles d'IA partagent le contexte et les données.,
mujoco,ai_ml_automation,tool_platform,MuJoCo,MuJoCo,MuJoCo is a physics engine for research and development in robotics and biomechanics.,MuJoCo est un moteur physique pour la recherche en robotique et biomécanique.,https://mujoco.org
notebooklm,ai_ml_automation,tool_platform,NotebookLM,NotebookLM,NotebookLM is a tool for integrating language models into notebook environments.,NotebookLM est un outil pour intégrer des modèles linguistiques dans des environnements de notebooks.,
nvidia-cuda,ai_ml_automation,tool_platform,NVIDIA CUDA,NVIDIA CUDA,NVIDIA CUDA is a parallel computing platform and API for GPU acceleration.,NVIDIA CUDA est une plateforme de calcul parallèle et une API pour l'accélération GPU.,https://developer.nvidia.com/cuda-toolkit
nvidia-nim,ai_ml_automation,tool_platform,NVIDIA NIM,NVIDIA NIM,NVIDIA NIM is a platform for managing and deploying AI models efficiently.,NVIDIA NIM est une plateforme pour gérer et déployer efficacement des modèles d'IA.,
ollama,ai_ml_automation,tool_platform,Ollama,Ollama,Ollama provides tools for building and running AI applications locally.,Ollama offre des outils pour créer et exécuter des applications d'IA en local.,
onnx,ai_ml_automation,tool_platform,ONNX,ONNX,"ONNX is an open format for representing machine learning models, enabling interoperability.","ONNX est un format ouvert pour représenter des modèles d'apprentissage automatique, facilitant l'interopérabilité.",https://onnx.ai
