Numero;Nom Complet;Acronyme;Type;Pays;Ville;Site Web;Taille (etudiants approx);Email Contact;Telephone;Dirigeant (Titre - Nom);Notes
11;Universite Alassane Ouattara;UAO;Universite Publique;Cote d'Ivoire;Bouake;https://univ-ao.edu.ci/;~15 000;;BP 18 Bouake 01;Recteur;Fondee 1992 - ex-Universite de Bouake
12;Universite Jean Lorougnon Guede;UJLoG;Universite Publique;Cote d'Ivoire;Daloa;https://ujlog.edu.ci/;~6 000;;;Presidente - Prof. Adohi Krou Adjo Viviane;Fondee 2012 - sciences - agroforesterie - environnement - 421 enseignants-chercheurs
13;Universite Peleforo Gon Coulibaly;UPGC;Universite Publique;Cote d'Ivoire;Korhogo;https://www.univ-pgc.edu.ci/;~3 000;;BP 1328 Korhogo;Presidente - Aoua Sougo Coulibaly;Fondee 2012 - specialisee developpement local et rural
14;UCAO - Unite Universitaire a Abidjan;UCAO-UUA;Universite Privee Catholique;Cote d'Ivoire;Abidjan (Cocody);https://www.ucaouua.com/;~2 000;;08 BP 22 Abidjan 08;Representant - Rev. Pere Bernard KABORE;Reseau pan-africain - 8 unites dans 7 pays UEMOA
15;Universite Cheikh Anta Diop;UCAD;Universite Publique;Senegal;Dakar;https://www.ucad.sn/;+80 000;rectorat@ucad.sn;+221 33 869 27 66 / 33 825 28 83;Recteur - Pr Alioune Badara Kandji;Plus grande universite du Senegal - 1ere universite francophone Afrique (Shanghai) - fondee 1918
16;Universite Gaston Berger;UGB;Universite Publique;Senegal;Saint-Louis;https://www.ugb.sn/;~12 000;dcm@ugb.edu.sn;+221 33 961 19 06;Recteur;Fondee 1990 - 2eme universite du Senegal
17;Universite Iba Der Thiam de Thies;UIDT;Universite Publique;Senegal;Thies;https://v3.uidt.sn/;~8 000;;+221 33 952 21 21 / 33 939 76 02;Recteur - Ramatoulaye Diagne MBENGUE;Fondee 2007 - ex-Universite de Thies - ingenierie - sante - education
18;Universite Numerique Cheikh Hamidou Kane (ex-UVS);UN-CHK;Universite Publique (Numerique);Senegal;Dakar (national);https://www.unchk.sn/;+60 000;;admission.uvs.sn;Recteur - Prof. Samuel OUYA;17 Espaces Numeriques Ouverts - PROSPECT PRIORITAIRE (concurrent/partenaire potentiel)
19;Ecole Polytechnique de Thies;EPT;Grande Ecole Publique (Ingenierie);Senegal;Thies;https://ept.edu.sn/;~500;espth@ucad.sn;+221 33 951 13 84 / 33 951 14 09;Directeur - Pr. Alassane Diene;Fondee 1973 - 1ere ecole d'ingenieurs de conception du Senegal
20;Ecole Superieure Polytechnique de Dakar;ESP;Grande Ecole Publique (Ingenierie);Senegal;Dakar-Fann;https://www.esp.sn/;~2 000;;;Directeur;Ecole d'ingenieur rattachee a l'UCAD - formations techniques et professionnelles
21;Groupe ISM - Institut Superieur de Management;ISM;Business School Privee;Senegal;Dakar;https://www.groupeism.sn/;~10 000;info@ism.edu.sn;+221 33 869 76 76;Fondateur-DG;Fondee 1992 - 12 campus au Senegal - nouveau Campus Baobab 2025 - management - droit - ingenierie - digital
22;BEM Dakar - Bordeaux Management School;BEM Dakar;Business School Privee;Senegal;Dakar (Sacre Coeur);https://bem.sn/;~1 500;;+221 77 704 77 77;DG - Marie Odile Sene;Campus de BEM Bordeaux - ouverte 2008 - bachelor et master en gestion
23;IAM - Institut Africain de Management;IAM;Business School Privee;Senegal;Dakar (Mermoz);https://www.groupeiam.com/;~3 000;;+221 33 869 36 36;DG - Moustapha Mamba Guirassy;Fondee 1996 - campus aussi a Bamako et Ouagadougou - classee Eduniversal
24;SUPDECO Dakar - Ecole Superieure de Commerce;SUPDECO;Business School Privee;Senegal;Dakar;https://supdeco.sn/;~3 000;supdeco@supdeco.sn;+221 33 849 69 19;Directeur General;Fondee 1993 - 1ere ecole de commerce du Senegal - campus Thies et Saint-Louis
25;CESAG - Centre Africain d'Etudes Superieures en Gestion;CESAG;Ecole de Gestion Internationale;Senegal;Dakar;https://www.cesag.sn/;~1 500;;+221 33 839 73 60;DG - Rosaline Dado Worou Houndekon;Fondee 1978 - sous tutelle BCEAO - institution inter-Etats UEMOA - PROSPECT PRIORITAIRE
26;Universite Joseph Ki-Zerbo;UJKZ;Universite Publique;Burkina Faso;Ouagadougou;https://www.ujkz.bf/;+50 000;;;Recteur;Plus ancienne et plus grande universite du Burkina - fondee 1974 - 1 147 enseignants
27;Universite Nazi Boni;UNB;Universite Publique;Burkina Faso;Bobo-Dioulasso;https://www.univ-bobo.gov.bf/;~15 000;info@univ-bobo.bf;+226 20 98 06 35;Recteur;Fondee 1995 - 2eme universite du Burkina
28;2iE - Institut International d'Ingenierie de l'Eau et de l'Environnement;2iE;Grande Ecole Internationale (Ingenierie);Burkina Faso;Ouagadougou;https://www.2ie-edu.org/;~2 000;;;Directeur General;Ecole d'excellence pan-africaine - eau - environnement - energie - genie civil - 35 nationalites
29;ISTIC - Institut des Sciences et Techniques de l'Information et de la Communication;ISTIC;Grande Ecole Publique (Communication);Burkina Faso;Ouagadougou;https://istic.bf/;~500;contact@istic.bf;+226 25 48 86 79;DG - Dr Alizeta Ouoba/Compaore;Fondee 1974 - 1ere ecole de journalisme du Burkina
30;Universite des Sciences Techniques et Technologies de Bamako;USTTB;Universite Publique;Mali;Bamako;http://www.usttb.edu.ml/;~20 000;info@usttb.edu.ml;+223 20 29 04 07;Recteur;Fondee 2011 (ex-Univ. Bamako) - 4 facultes et 1 institut - medecine - sciences - technologie
31;Universite Kurukanfuga de Bamako (ex-USJPB);UKB;Universite Publique;Mali;Bamako;https://www.usjpb.edu.ml/;~15 000;;+223 66 72 90 20 / 20 22 93 02;Recteur - Pr. Moussa Djire;Ex-Universite des Sciences Juridiques et Politiques - 3 facultes de droit
32;Universite de Segou;US;Universite Publique;Mali;Segou;http://ulshb.edu.ml/;~5 000;;+223 21 32 04 97;Recteur;Fondee 2012 - 6 facultes dont lettres - sciences humaines - agronomie - genie
33;Universite de Lome;UL;Universite Publique;Togo;Lome;https://univ-lome.tg/;+50 000;;BP 1515 Lome;President - Prof. Kossivi Hounake;Plus grande universite du Togo - fondee 1970
34;Universite de Kara;UK;Universite Publique;Togo;Kara;https://univkara.tg/;~10 000;presidence@univkara.tg;+228 26 61 02 85 / 26 60 12 69;President - Prof. Prenam Houzou Mouzou;2eme universite du Togo - formations a distance via univ-kara.org
35;ESGIS - Ecole Superieure de Gestion d'Informatique et des Sciences;ESGIS;Grande Ecole Privee (Gestion/TIC);Togo;Lome;https://www.esgis.org/;~3 000;esgis.togo@esgis.org;+228 22 20 12 93 / 22 22 50 17;Directeur General;Fondee 1994 - presente aussi au Benin et Gabon - PROSPECT PRIORITAIRE
36;ESA Togo - Ecole Superieure des Affaires;ESA;Grande Ecole Privee (Business);Togo;Lome;https://www.esatogo.com/;~2 000;;;DG - Dr Charles Birregah;Fondee 2010 - 1ere ecole certifiee ISO 9001 au Togo - 35 programmes
37;ESAG-NDE - Ecole Superieure d'Administration et de Gestion Notre Dame de l'Eglise;ESAG-NDE;Grande Ecole Privee (Administration);Togo;Lome;https://esagnde.org/;~1 500;esagnde@esagnde.org;+228 22 21 68 58 / 90 35 60 50;DG - Dr Sr Louise de Jesus Assivon;Accreditee CAMES
38;UCAO - Unite Universitaire au Togo;UCAO-UUT;Universite Privee Catholique;Togo;Lome;https://www.ucao-uut.tg/;~1 500;;;Directeur;Reseau pan-africain UCAO - sciences technologiques
39;Universite d'Abomey-Calavi;UAC;Universite Publique;Benin;Abomey-Calavi (Cotonou);https://www.uac.bj/;+45 000;;portail.uac.bj;Recteur - Prof. Felicien Avlessi;Plus grande universite du Benin - 19 institutions - 6 campus - fondee 1970
40;Universite de Parakou;UP;Universite Publique;Benin;Parakou;https://www.univ-parakou.bj/;~10 000;contacts@univ-parakou.com;+229 23 61 07 12;Recteur - Prof. Bertrand Sogbossi Bocco;Fondee 2001 - 2eme universite du Benin - BP 123 Parakou
41;EPAC - Ecole Polytechnique d'Abomey-Calavi;EPAC;Grande Ecole Publique (Ingenierie);Benin;Abomey-Calavi;https://www.uac.bj/;~3 000;epac.siteweb@gmail.com;;Directeur;Fondee 2002 - rattachee a l'UAC - Licence - Master - Ingenieur de Conception
42;ENEAM - Ecole Nationale d'Economie Appliquee et de Management;ENEAM;Grande Ecole Publique (Gestion);Benin;Cotonou;https://www.uac.bj/;~2 000;;;Directeur;Fondee 1980 - rattachee a l'UAC - BTS - Licence Pro - Master Pro
43;UCAO - Unite Universitaire au Benin;UCAO-UUC;Universite Privee Catholique;Benin;Cotonou;https://www.ucaobenin.org/;~1 500;;;Directeur;Reseau pan-africain UCAO - agronomie et electronique
44;Universite Abdou Moumouni;UAM;Universite Publique;Niger;Niamey;https://www.uam.edu.ne/;~35 000;;+227 20 31 55 31;Recteur;Fondee 1971 - principale universite du Niger - 6 facultes - 3 instituts - ENS
45;Universidade Amilcar Cabral;UAC-GB;Universite Publique;Guinee-Bissau;Bissau;http://uac.gw/;~3 000;;CP 659 Bissau;Recteur;Seule universite publique du pays - fondee 1999 - restructuree 2013 - droit - lettres - medecine
