ID,Nom,Acronyme,Sous-Segment,Pays,Ville,Site Web,Contact Principal,Titre Contact,Email,Telephone,Adresse,Priorite,Statut Pipeline,Owner,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
G18,ANPE Burkina Faso,ANPE-BF,Agence gouvernementale,Burkina Faso,Ouagadougou,https://anpe.gov.bf,Yakouba GUIGMA,DG,,,Rue Begnon Damien KONE 01 BP 521,P2,Prospect,,Placement - orientation - formation - stages - digitalisation services emploi,,,,,
G19,Ministere Transition Digitale Postes et Communications Electroniques,MTD-BF,Ministere,Burkina Faso,Ouagadougou,https://www.mdenp.gov.bf,Aminata ZERBO,Ministre,,,,P2,Prospect,,370 localites connectees - 91% objectifs atteints - data centers,,,,,
G20,ANPE Mali,ANPE-ML,Agence gouvernementale,Mali,Bamako,https://anpe-mali.org,,,,,,P3,Prospect,,Politique nationale emploi - plan strategique 2021-2025,,,,,
G21,APEJ Mali - Agence Promotion Emploi des Jeunes,APEJ-ML,Agence gouvernementale,Mali,Bamako,https://apej.ml,,contact@apej.ml,+223 20 29 64 55,,Hamdallaye ACI 2000 pres monument Obelisque,P2,Prospect,,Suivi jeunes dans 6+ regions - programmes insertion,,,,,
G22,ANPE Togo,ANPE-TG,Agence gouvernementale,Togo,Lome,https://anpetogo.org,Kossi TSIGLO,DG,anpetogo@anpetogo.org,+228 22 25 97 74,,P2,Prospect,,Enregistrement et placement demandeurs - entrepreneuriat jeunes,,,,,
G23,Ministere Economie Numerique et Transformation Digitale Togo,,Ministere,Togo,Lome,https://numerique.gouv.tg,Cina LAWSON,Ministre,,+228 22 21 25 28,Av. Abdoulaye FADIGA Face BCEAO,P1,Prospect,Lamine,Togo leader transformation digitale Afrique Ouest - en poste depuis 2010,,,,,PROSPECT PRIORITAIRE - alignement strategique fort
G24,ANPE Benin,ANPE-BJ,Agence gouvernementale,Benin,Cotonou,https://anpe.bj,Urbain AMEGBEDJI,DG,directiongenerale@anpe.bj,21 31 86 79,Quartier Aidjedo Immeuble Saroukou 10 BP 99,P2,Prospect,,12 departements - promotion emploi et auto-emploi jeunes,,,,,
G25,BCEAO,BCEAO,Institution financiere regionale,Regional (8 pays),Dakar,https://www.bceao.int,Jean-Blaise KOUAME,Dir. Carrieres et Competences,courrier.bceao@bceao.int,+221 33 839 05 00,Avenue Abdoulaye Fadiga 3108 Dakar,P1,Prospect,Lamine,3 000+ agents - gestion talents - formation continue - grand compte,,,,,DG Admin et RH: Alioune Blondin BEYE
G26,Commission de l'UEMOA,UEMOA,Organisation regionale,Regional,Ouagadougou,https://www.uemoa.int,,commission@uemoa.int,+226 25 31 88 73,,380 Av. Prof. Joseph KI-ZERBO 01 BP 543,P2,Prospect,,Plan strategique 2025-2030 - harmonisation politiques emploi/formation UEMOA,,,,,
G27,BOAD - Banque Ouest Africaine de Developpement,BOAD,Institution financiere,Regional,Lome,https://www.boad.org,,boadsiege@boad.org,+228 221 59 06,,68 Av. de la Liberation BP 1172,P2,Prospect,,50+ ans - financement developpement - gestion RH interne,,,,,
G28,GIZ Cote d'Ivoire,GIZ-CI,Cooperation internationale,Cote d'Ivoire,Abidjan (Cocody),https://www.giz.de,,recrutement-cote-ivoire@giz.de,,,Cocody Riviera Golf,P2,Prospect,,Formation numerique - emploi jeunes - co-financement deploiement Etudesk OS,,,,,
G29,AFD Cote d'Ivoire,AFD-CI,Cooperation internationale,Cote d'Ivoire,Abidjan,https://www.afd.fr/fr/page-region-pays/cote-divoire,,,,+225 22 40 70 40,Bd F. Mitterrand 01 BP 1814,P2,Prospect,,Financement education - formation pro - bailleur potentiel deploiement a grande echelle,,,,,
G30,Banque Mondiale - Bureau Abidjan,BM-CI,Institution multilaterale,Cote d'Ivoire,Abidjan (Cocody),https://www.worldbank.org/en/country/cotedivoire,,endri@worldbank.org,,,Immeuble BM Angle Jacques Aka et Booker Washington,P1,Prospect,Lamine,Projets emploi jeunes - education - transformation numerique - bailleur majeur,,,,,
G31,PNUD Cote d'Ivoire,PNUD-CI,Nations Unies,Cote d'Ivoire,Abidjan,https://www.undp.org/fr/cote-d-ivoire,Mme Blerta CELA,Representante residente,registry.ci@undp.org,+225 27 20 31 74 00,Angle Av. Marchand Rue Gourgas,P2,Prospect,,Developpement - emploi jeunes - gouvernance numerique,,,,,Representant adjoint: Gael OLLIVIER
G32,IFC Cote d'Ivoire,IFC-CI,Institution multilaterale,Cote d'Ivoire,Abidjan,https://www.ifc.org,Charlotte NDAW,Country Manager par interim,,+225 22 400 400,Immeuble BM Cocody,P2,Prospect,,Investissements secteur prive - tech et innovation - financement corporate,,,,,Couvre aussi Burkina Mali Niger
G33,Mastercard Foundation,MCF,Fondation philanthropique,Regional,Dakar,https://mastercardfdn.org,,,,,,P1,Prospect,Lamine,Young Africa Works - 30M jeunes en emploi d'ici 2030 - 33 pays africains dont CI/SN/BF/ML/TG/BJ,,,,,PROSPECT STRATEGIQUE MAJEUR - alignement parfait Etudesk OS
G34,Jacobs Foundation CI,JF-CI,Fondation philanthropique,Cote d'Ivoire,Abidjan,https://jacobsfoundation.org,,sabina.vigani@jacobsfoundation.org,,,,P2,Prospect,,Programme CLEF (78M+ CHF) - formation enseignants - 4M enfants d'ici 2027,,,,,Contact: Sabina VIGANI
G35,Seme City (ADSC),ADSC,Hub Innovation Gouvernemental,Benin,Ouidah,https://semecity.bj/,Claude Borna,Directeur,,,,P1,Prospect,Lamine,Ecocite 360 hectares - formation / recherche / innovation / incubation - 30 000 capacite,,,,,Aussi dans CRM_HUBS - double casquette
