Nom Complet,Type,Pays,Ville,Site Web,Email Contact,Telephone,Directeur / CEO,Programmes / Partenariats Cles
Orange Digital Center Burkina Faso,Hub Digital,Burkina Faso,Ouagadougou,https://www.orangedigitalcenters.com/country/BF/home,,,,Coding school; FabLab Solidaire; Orange Fab; Formation cloud AWS; Formations gratuites
Djanta Tech Hub,Tech Hub / Campus technologique,Togo,Lome,https://djantahub.tg/,,,,"1er campus technologique du Togo; 3000 m2; Djanta Academy (formation), Djanta Lab (FabLab), Djanta Space (coworking), Djanta Start (incubateur/accelerateur), NanaTech (entrepreneuriat feminin)"
WoeLab,FabLab / Tech Hub,Togo,Lome (Djidjole),https://www.woelabo.com/,,,"Senamé Koffi Agbodjinou (Fondateur)","1300 m2 coworking; 500+ fellows formes; 12 startups hebergees; 200 evenements gratuits; 1ere imprimante 3D recyclee africaine (W.Afate)"
CUBE (Centre Urbain de Business et d'Entrepreneuriat),Incubateur,Togo,Lome (Kpogan),https://saeicube.com/,,,"Urbain Amoussou (Fondateur & DG)","Biotechnologies, energie, education; Partenariat OIF; Formation 300 jeunes digital; Fonds Ki U-Invest pour PME; Plateforme K-PITAL avec PNUD"
JIED Togo,Incubateur / Accelerateur,Togo,Lome (Kegue),https://jied-togo.org/,,+228 90 05 80 55,"Malick H. Ayeva (Directeur)","Coaching personnalise; Formation marketing, comptabilite, management, RH, langues, informatique; Developpement personnel"
Nunya Lab,Incubateur,Togo,Lome,,,,,"Initiative ministerielle; Modele inspire du K-Lab Rwanda; Focus startups solutions technologiques innovantes; Plateforme PRIME"
Seme City (ADSC),Hub Innovation / Cite de l'innovation,Benin,Ouidah (40km Cotonou),https://semecity.bj/,,,"Claude Borna (Directeur)","Ecocite 360 hectares; Formation, recherche, innovation, incubation; Capacite 30000 personnes; Soutien gouvernemental; Campus en construction"
EtriLabs,Incubateur / Tech Hub,Benin,Cotonou + Parakou + Dakar,https://etrilabs.com/,,+229 21 31 64 43,"Senam Beheton (PDG, fondateur)","Coworking, incubation, acceleration, formation; 3 centres au Benin + 1 a Dakar; Marketing/communication; Solutions sur-mesure entreprises"
BloLab,FabLab / Hub Innovation,Benin,Cotonou,https://blolab.bj/,,,"Cossi Medard Agbayazon (Fondateur)","1er FabLab du Benin; Formation, prototypage, innovation; Accelerateur projets impact; Membre reseau FabLabs"
Impact Hub Bamako,Incubateur / Coworking,Mali,Bamako + 4 villes,https://the-hub.company/,,,,"1ere implantation Impact Hub en Afrique francophone; Incubation, acceleration, coaching, coworking; Presence a Bamako, Segou, Mopti, Sikasso, Tombouctou"
DoniLab,Incubateur / Coworking / FabLab,Mali,Bamako + Mopti + Sikasso + Segou,https://www.donilab.net/,,,"Tidiane Ball (Fondateur)","Secteurs ICT, sante, innovation sociale; Hubs dans 4 villes; Coworking equipe haut debit; FabLab"
Jokkolabs Bamako,Coworking / Hub,Mali,Bamako,https://www.jokkolabs.net/,,,,Reseau Jokkolabs; Entrepreneuriat et acces a l'information; Open Data; Evenements reguliers
Orange Digital Center Mali,Hub Digital,Mali,Bamako,https://www.orangedigitalcenters.com/,,,,"Operationnel depuis juillet 2021; Coding school, FabLab, Orange Fab, Orange Ventures; Formation cloud AWS"
CIPMEN,Incubateur,Niger,Niamey,https://www.cipmen.org/,,,"Almoktar Allahoury (Directeur General)","1er incubateur du Niger (2013); PPP avec Orange, Total, Veolia, CTIC Dakar; Secteurs ICT, energies renouvelables, environnement; Pre-incubation, incubation, acceleration"
AfricaWorks Dakar,Coworking / Hub,Senegal,Dakar (Route de Ouakam),"https://www.africaworks.co/",[email protected],+27 79 882 7447,"Gregoire Schwebig (Founder & CEO, global)","Coworking et coliving; Bureaux services, salles de reunion; Studios meubles court et long sejour"
