ID,Nom,Acronyme,Sous-Segment,Pays,Ville,Site Web,Taille Etudiants,Contact Principal,Titre Contact,Email,Telephone,Priorite,Statut Pipeline,Owner,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
U11,Universite Alassane Ouattara,UAO,Universite Publique,Cote d'Ivoire,Bouake,https://univ-ao.edu.ci/,~15 000,,Recteur,,BP 18 Bouake 01,P1,Prospect,,2eme universite CI - 15 000 etudiants - volume significatif,,,,,Fondee 1992 - ex-Universite de Bouake
U12,Universite Jean Lorougnon Guede,UJLoG,Universite Publique,Cote d'Ivoire,Daloa,https://ujlog.edu.ci/,~6 000,Prof. Adohi Krou Adjo Viviane,Presidente,,,P2,Prospect,,Sciences - agroforesterie - 421 enseignants-chercheurs,,,,,Fondee 2012
U13,Universite Peleforo Gon Coulibaly,UPGC,Universite Publique,Cote d'Ivoire,Korhogo,https://www.univ-pgc.edu.ci/,~3 000,Aoua Sougo Coulibaly,Presidente,,BP 1328 Korhogo,P3,Prospect,,Specialisee developpement local et rural,,,,,Fondee 2012
U14,UCAO - Unite Universitaire a Abidjan,UCAO-UUA,Universite Privee Catholique,Cote d'Ivoire,Abidjan (Cocody),https://www.ucaouua.com/,~2 000,Rev. Pere Bernard KABORE,Representant,,08 BP 22 Abidjan 08,P2,Prospect,,Reseau pan-africain 8 unites dans 7 pays UEMOA - effet reseau,,,,,Deploiement multi-pays possible via reseau UCAO
U15,Universite Cheikh Anta Diop,UCAD,Universite Publique,Senegal,Dakar,https://www.ucad.sn/,+80 000,Pr Alioune Badara Kandji,Recteur,rectorat@ucad.sn,+221 33 869 27 66,P1,Prospect,Lamine,Plus grande universite du Senegal - 80 000+ etudiants - 1ere francophone Afrique,,,,,Fondee 1918 - volume massif - entree marche Senegal
U16,Universite Gaston Berger,UGB,Universite Publique,Senegal,Saint-Louis,https://www.ugb.sn/,~12 000,,Recteur,dcm@ugb.edu.sn,+221 33 961 19 06,P2,Prospect,,2eme universite du Senegal - 12 000 etudiants,,,,,Fondee 1990
U17,Universite Iba Der Thiam de Thies,UIDT,Universite Publique,Senegal,Thies,https://v3.uidt.sn/,~8 000,Ramatoulaye Diagne MBENGUE,Recteur,,+221 33 952 21 21,P2,Prospect,,Ingenierie - sante - education,,,,,Fondee 2007
U18,Universite Numerique Cheikh Hamidou Kane,UN-CHK,Universite Publique Numerique,Senegal,Dakar (national),https://www.unchk.sn/,+60 000,Prof. Samuel OUYA,Recteur,,,P1,Prospect,Lamine,17 Espaces Numeriques Ouverts - concurrent/partenaire potentiel - 60 000+ etudiants,,,,,PROSPECT PRIORITAIRE - meme logique que UVCI
U19,Ecole Polytechnique de Thies,EPT,Grande Ecole Publique,Senegal,Thies,https://ept.edu.sn/,~500,Pr. Alassane Diene,Directeur,espth@ucad.sn,+221 33 951 13 84,P2,Prospect,,1ere ecole d'ingenieurs de conception du Senegal,,,,,Fondee 1973 - prestige eleve
U20,Ecole Superieure Polytechnique de Dakar,ESP,Grande Ecole Publique,Senegal,Dakar-Fann,https://www.esp.sn/,~2 000,,Directeur,,,P2,Prospect,,Ecole d'ingenieur rattachee a l'UCAD,,,,,
U21,Groupe ISM,ISM,Business School Privee,Senegal,Dakar,https://www.groupeism.sn/,~10 000,,Fondateur-DG,info@ism.edu.sn,+221 33 869 76 76,P1,Prospect,,12 campus au Senegal - 10 000 etudiants - management - digital - volume eleve,,,,,Fondee 1992 - Campus Baobab 2025
U22,BEM Dakar,BEM Dakar,Business School Privee,Senegal,Dakar (Sacre Coeur),https://bem.sn/,~1 500,Marie Odile Sene,DG,,+221 77 704 77 77,P2,Prospect,,Campus BEM Bordeaux - bachelor et master gestion,,,,,Ouverte 2008
U23,Institut Africain de Management,IAM,Business School Privee,Senegal,Dakar (Mermoz),https://www.groupeiam.com/,~3 000,Moustapha Mamba Guirassy,DG,,+221 33 869 36 36,P2,Prospect,,Campus Bamako et Ouagadougou - classee Eduniversal - deploiement multi-pays,,,,,Fondee 1996
U24,SUPDECO Dakar,SUPDECO,Business School Privee,Senegal,Dakar,https://supdeco.sn/,~3 000,,Directeur General,supdeco@supdeco.sn,+221 33 849 69 19,P2,Prospect,,1ere ecole de commerce du Senegal - campus Thies et Saint-Louis,,,,,Fondee 1993
U25,CESAG,CESAG,Ecole de Gestion Internationale,Senegal,Dakar,https://www.cesag.sn/,~1 500,Rosaline Dado Worou Houndekon,DG,,+221 33 839 73 60,P1,Prospect,Lamine,Sous tutelle BCEAO - institution inter-Etats UEMOA - porte d'entree regionale,,,,,PROSPECT PRIORITAIRE - deploiement UEMOA via institution
U26,Universite Joseph Ki-Zerbo,UJKZ,Universite Publique,Burkina Faso,Ouagadougou,https://www.ujkz.bf/,+50 000,,Recteur,,,P1,Prospect,,Plus grande universite du Burkina - 50 000+ etudiants - 1 147 enseignants,,,,,Fondee 1974
U27,Universite Nazi Boni,UNB,Universite Publique,Burkina Faso,Bobo-Dioulasso,https://www.univ-bobo.gov.bf/,~15 000,,Recteur,info@univ-bobo.bf,+226 20 98 06 35,P2,Prospect,,2eme universite du Burkina,,,,,Fondee 1995
U28,2iE,2iE,Grande Ecole Internationale,Burkina Faso,Ouagadougou,https://www.2ie-edu.org/,~2 000,,Directeur General,,,P1,Prospect,,Ecole d'excellence pan-africaine - 35 nationalites - eau - environnement - energie,,,,,Deploiement multi-pays possible
U29,ISTIC,ISTIC,Grande Ecole Publique,Burkina Faso,Ouagadougou,https://istic.bf/,~500,Dr Alizeta Ouoba/Compaore,DG,contact@istic.bf,+226 25 48 86 79,P3,Prospect,,Communication - niche,,,,,Fondee 1974
U30,USTTB,USTTB,Universite Publique,Mali,Bamako,http://www.usttb.edu.ml/,~20 000,,Recteur,info@usttb.edu.ml,+223 20 29 04 07,P2,Prospect,,4 facultes - medecine - sciences - technologie,,,,,Fondee 2011
U31,Universite Kurukanfuga de Bamako,UKB,Universite Publique,Mali,Bamako,https://www.usjpb.edu.ml/,~15 000,Pr. Moussa Djire,Recteur,,+223 66 72 90 20,P2,Prospect,,3 facultes de droit,,,,,Ex-USJPB
U32,Universite de Segou,US,Universite Publique,Mali,Segou,http://ulshb.edu.ml/,~5 000,,Recteur,,+223 21 32 04 97,P3,Prospect,,6 facultes - agronomie - genie,,,,,Fondee 2012
U33,Universite de Lome,UL,Universite Publique,Togo,Lome,https://univ-lome.tg/,+50 000,Prof. Kossivi Hounake,President,,BP 1515 Lome,P1,Prospect,,Plus grande universite du Togo - 50 000+ etudiants,,,,,Fondee 1970
U34,Universite de Kara,UK,Universite Publique,Togo,Kara,https://univkara.tg/,~10 000,Prof. Prenam Houzou Mouzou,President,presidence@univkara.tg,+228 26 61 02 85,P2,Prospect,,2eme universite du Togo - formations a distance,,,,,
U35,ESGIS,ESGIS,Grande Ecole Privee,Togo,Lome,https://www.esgis.org/,~3 000,,Directeur General,esgis.togo@esgis.org,+228 22 20 12 93,P1,Prospect,,Presente au Benin et Gabon - gestion/TIC - deploiement multi-pays,,,,,PROSPECT PRIORITAIRE - Fondee 1994
U36,ESA Togo,ESA,Grande Ecole Privee,Togo,Lome,https://www.esatogo.com/,~2 000,Dr Charles Birregah,DG,,,P2,Prospect,,1ere ecole certifiee ISO 9001 au Togo - 35 programmes,,,,,Fondee 2010
U37,ESAG-NDE,ESAG-NDE,Grande Ecole Privee,Togo,Lome,https://esagnde.org/,~1 500,Dr Sr Louise de Jesus Assivon,DG,esagnde@esagnde.org,+228 22 21 68 58,P3,Prospect,,Accreditee CAMES,,,,,
U38,UCAO - Unite Universitaire au Togo,UCAO-UUT,Universite Privee Catholique,Togo,Lome,https://www.ucao-uut.tg/,~1 500,,Directeur,,,P3,Prospect,,Reseau UCAO - sciences technologiques,,,,,
U39,Universite d'Abomey-Calavi,UAC,Universite Publique,Benin,Abomey-Calavi,https://www.uac.bj/,+45 000,Prof. Felicien Avlessi,Recteur,,,P1,Prospect,,Plus grande universite du Benin - 19 institutions - 6 campus,,,,,Fondee 1970
U40,Universite de Parakou,UP,Universite Publique,Benin,Parakou,https://www.univ-parakou.bj/,~10 000,Prof. Bertrand Sogbossi Bocco,Recteur,contacts@univ-parakou.com,+229 23 61 07 12,P2,Prospect,,2eme universite du Benin,,,,,Fondee 2001
U41,EPAC,EPAC,Grande Ecole Publique,Benin,Abomey-Calavi,https://www.uac.bj/,~3 000,,Directeur,epac.siteweb@gmail.com,,P2,Prospect,,Ingenierie - rattachee a l'UAC,,,,,Fondee 2002
U42,ENEAM,ENEAM,Grande Ecole Publique,Benin,Cotonou,https://www.uac.bj/,~2 000,,Directeur,,,P2,Prospect,,Economie appliquee et management - rattachee UAC,,,,,Fondee 1980
U43,UCAO - Unite Universitaire au Benin,UCAO-UUC,Universite Privee Catholique,Benin,Cotonou,https://www.ucaobenin.org/,~1 500,,Directeur,,,P3,Prospect,,Reseau UCAO - agronomie et electronique,,,,,
U44,Universite Abdou Moumouni,UAM,Universite Publique,Niger,Niamey,https://www.uam.edu.ne/,+35 000,,Recteur,,+227 20 31 55 31,P1,Prospect,,Principale universite du Niger - 35 000 etudiants,,,,,Fondee 1971
U45,Universidade Amilcar Cabral,UAC-GB,Universite Publique,Guinee-Bissau,Bissau,http://uac.gw/,~3 000,,Recteur,,CP 659 Bissau,P3,Prospect,,Seule universite publique du pays,,,,,Fondee 1999
